Date,new_case,new_death
2020-12-16,230728,3400
2020-12-15,190865,2971
2020-12-14,193384,1358
2020-12-13,187754,1494
2020-12-12,225196,2494
2020-12-11,234810,2749
2020-12-10,218510,3115
2020-12-09,213456,3164
2020-12-08,220887,2703
2020-12-07,180819,1297
2020-12-06,179619,1145
2020-12-05,215393,2480
2020-12-04,227975,2573
2020-12-03,213364,2825
2020-12-02,198665,2804
2020-12-01,179217,2506
2020-11-30,148475,1035
2020-11-29,136090,823
2020-11-28,154915,1251
2020-11-27,194244,1392
2020-11-26,128439,1387
2020-11-25,186938,2280
2020-11-24,169264,2106
2020-11-23,151893,858
2020-11-22,151896,917
2020-11-21,181859,1554
2020-11-20,194810,1894
2020-11-19,184672,2020
2020-11-18,166167,1882
2020-11-17,158799,1562
2020-11-16,149528,609
2020-11-15,145830,708
2020-11-14,165821,1352
2020-11-13,174459,1304
2020-11-12,154175,1111
2020-11-11,146898,1579
2020-11-10,132974,1357
2020-11-09,117498,580
2020-11-08,111499,501
2020-11-07,130816,1132
2020-11-06,127492,1186
2020-11-05,118056,1155
2020-11-04,103553,1126
2020-11-03,89864,1525
2020-11-02,83095,474
2020-11-01,141347,398
2020-10-31,90613,970
2020-10-30,97263,947
2020-10-29,88728,1055
2020-10-28,78793,1045
2020-10-27,72097,929
2020-10-26,62535,399
2020-10-25,64897,387
2020-10-24,83319,897
2020-10-23,82342,941
2020-10-22,73003,1126
2020-10-21,60980,1025
2020-10-20,60569,830
2020-10-19,57108,451
2020-10-18,48280,402
2020-10-17,57355,777
2020-10-16,68265,894
2020-10-15,63384,928
2020-10-14,56237,798
2020-10-13,48417,724
2020-10-12,42645,285
2020-10-11,46268,469
2020-10-10,57424,690
2020-10-09,56790,905
2020-10-08,55204,988
2020-10-07,50588,922
2020-10-06,38917,622
2020-10-05,37756,330
2020-10-04,37982,373
2020-10-03,50937,743
2020-10-02,49253,844
2020-10-01,45600,859
2020-09-30,44346,1060
2020-09-29,36963,732
2020-09-28,35362,245
2020-09-27,34983,307
2020-09-26,47407,874
2020-09-25,55186,849
2020-09-24,43343,933
2020-09-23,38619,1159
2020-09-22,49475,859
2020-09-21,39137,283
2020-09-20,35504,324
2020-09-19,44906,751
2020-09-18,47250,901
2020-09-17,43291,878
2020-09-16,40108,1184
2020-09-15,34945,1040
2020-09-14,33577,405
2020-09-13,34314,390
2020-09-12,41865,821
2020-09-11,44684,1014
2020-09-10,37304,1156
2020-09-09,31171,1092
2020-09-08,22135,350
2020-09-07,28142,227
2020-09-06,32920,448
2020-09-05,44743,926
2020-09-04,51511,1002
2020-09-03,44621,1071
2020-09-02,30216,1032
2020-09-01,42419,1019
2020-08-31,31270,377
2020-08-30,39285,474
2020-08-29,43962,1015
