video_id,category_id,category_title,publishedAt,trending_date,view_count,likes,dislikes,comment_count,comments_disabled,ratings_disabled,trending_days,view_increase,like_increase,comment_increase,diff_days,engagement,new_case,new_death
3C66w5Z0ixs,22,People & Blogs,2020-08-11,2020-08-12,1514614,156908,5855,35313,False,False,6 days,2443612,47352,10261,1 days,4208060,55894,1513
49Z6Mv4_WCA,22,People & Blogs,2020-08-11,2020-08-12,940036,87111,1860,7052,False,False,5 days,1049619,47984,2933,1 days,2134735,55894,1513
nt3VVyv5pxQ,22,People & Blogs,2020-08-11,2020-08-12,591837,44168,409,2652,False,False,5 days,358083,12707,635,1 days,1010082,55894,1513
BNeDH6UTmXw,22,People & Blogs,2020-08-11,2020-08-12,105955,4511,69,673,False,False,4 days,78556,1628,178,1 days,191501,55894,1513
gPdUslndvVI,22,People & Blogs,2020-08-11,2020-08-12,277338,37533,197,3666,False,False,5 days,520534,16056,1091,1 days,856218,55894,1513
AMXT1ok5UBg,22,People & Blogs,2020-08-11,2020-08-12,2630410,185419,4744,15908,False,False,4 days,1388098,46547,3592,1 days,4269974,55894,1513
PT6hPvOqTYc,22,People & Blogs,2020-08-10,2020-08-12,542048,42090,4829,10576,False,False,4 days,158000,5758,1733,2 days,760205,55894,1513
CezxKs9YLv0,22,People & Blogs,2020-08-11,2020-08-12,75700,9228,103,7085,False,False,4 days,47176,2622,1688,1 days,143499,55894,1513
IuMAHR0OtH4,22,People & Blogs,2020-08-06,2020-08-12,324426,7573,358,502,False,False,4 days,40764,679,53,6 days,373997,55894,1513
p6RatnMhDj8,22,People & Blogs,2020-08-11,2020-08-12,143091,7159,349,805,False,False,4 days,36754,1187,98,1 days,189094,55894,1513
Tujt4APHPzo,22,People & Blogs,2020-08-11,2020-08-12,208173,8810,215,0,True,False,3 days,70676,1977,0,1 days,289636,55894,1513
lcnWx5tiwhM,22,People & Blogs,2020-08-10,2020-08-12,276232,45628,157,3227,False,False,3 days,33119,3678,84,2 days,361968,55894,1513
3qxGj18nAR4,22,People & Blogs,2020-08-09,2020-08-12,452906,29368,829,3191,False,False,3 days,81898,3852,174,3 days,571389,55894,1513
hEU_MnFTJ_c,22,People & Blogs,2020-08-09,2020-08-12,1527389,63086,1213,5168,False,False,3 days,85976,1637,102,3 days,1683358,55894,1513
qn515i8xr-4,22,People & Blogs,2020-08-09,2020-08-12,176552,14567,93,391,False,False,3 days,20192,921,35,3 days,212658,55894,1513
53sqVjcdM4Q,22,People & Blogs,2020-08-08,2020-08-12,573875,47865,401,3122,False,False,3 days,51379,3265,143,4 days,679649,55894,1513
EukpxRuDUzA,22,People & Blogs,2020-08-08,2020-08-12,379425,29005,662,8381,False,False,2 days,34011,1969,365,4 days,453156,55894,1513
Idp1xvmLPHo,22,People & Blogs,2020-08-08,2020-08-12,5849640,287811,5040,0,True,False,2 days,375698,9303,0,4 days,6522452,55894,1513
Of_C9g9O9KY,22,People & Blogs,2020-08-07,2020-08-12,1577287,65689,1167,5405,False,False,1 days,13571,237,7,5 days,1662196,55894,1513
rmn4F-K2RRI,22,People & Blogs,2020-08-08,2020-08-12,267018,18577,143,1476,False,False,1 days,6662,234,45,4 days,294012,55894,1513
8tze9Z33K5A,22,People & Blogs,2020-08-07,2020-08-12,449393,19746,299,3754,False,False,1 days,52496,962,130,5 days,526481,55894,1513
7QJPCIBgV5g,22,People & Blogs,2020-08-07,2020-08-12,403592,39766,358,3608,False,False,0 days,0,0,0,5 days,446966,55894,1513
7g0oEVP1huA,22,People & Blogs,2020-08-12,2020-08-13,190543,8177,213,1265,False,False,4 days,159539,3612,453,1 days,363589,51621,1164
AVYBAxqykdE,22,People & Blogs,2020-08-12,2020-08-13,97394,10115,83,495,False,False,4 days,81526,3543,113,1 days,193186,51621,1164
7XvVaeVdPnQ,22,People & Blogs,2020-08-13,2020-08-14,2169043,137711,1221,6112,False,False,5 days,2850846,87983,2358,1 days,5254053,57093,1220
korwt6MHfkA,22,People & Blogs,2020-08-14,2020-08-15,463117,18175,448,1162,False,False,4 days,217254,5419,261,1 days,705388,55810,1226
8yqpfLLG_vQ,22,People & Blogs,2020-08-14,2020-08-15,903259,61795,1258,3638,False,False,4 days,499778,19494,1118,1 days,1489082,55810,1226
QcTwbXLMm9c,22,People & Blogs,2020-08-15,2020-08-16,3858519,293238,6114,15068,False,False,7 days,4520585,167604,7083,1 days,8862097,41782,618
ozWNPkhqi8o,22,People & Blogs,2020-08-15,2020-08-16,498999,93530,396,9550,False,False,7 days,1257163,102463,7495,1 days,1969200,41782,618
tFZEP1z5Tr4,22,People & Blogs,2020-08-14,2020-08-16,1471847,127670,4110,17904,False,False,4 days,327659,12010,1807,2 days,1958897,41782,618
KOIgb6lQ1JY,22,People & Blogs,2020-08-14,2020-08-16,276807,19035,2184,4017,False,False,4 days,116827,4366,755,2 days,421807,41782,618
7pgY_TpojtU,22,People & Blogs,2020-08-14,2020-08-16,676236,49539,599,4086,False,False,5 days,907241,36832,1745,2 days,1675679,41782,618
Dn4WxSPmTeU,22,People & Blogs,2020-08-16,2020-08-17,1061220,102669,513,5379,False,False,7 days,1557617,80757,3218,1 days,2810860,37951,409
qlDW7UPkon4,22,People & Blogs,2020-08-16,2020-08-17,339068,31395,341,3814,False,False,6 days,262498,9236,747,1 days,646758,37951,409
XD6zGTNTy0Q,22,People & Blogs,2020-08-16,2020-08-17,678632,127963,437,6650,False,False,6 days,1139898,81510,2261,1 days,2036914,37951,409
YuCqyvBlcK8,22,People & Blogs,2020-08-16,2020-08-17,733316,38203,426,2374,False,False,6 days,1200750,33906,1462,1 days,2010011,37951,409
gWVn4jp6Mgo,22,People & Blogs,2020-08-16,2020-08-17,357802,52392,170,4501,False,False,6 days,391333,33509,2481,1 days,842018,37951,409
qfAx5Rz3wF8,22,People & Blogs,2020-08-16,2020-08-17,414897,28245,319,1890,False,False,6 days,807030,21687,1049,1 days,1274798,37951,409
WY1ptfuqWa8,22,People & Blogs,2020-08-15,2020-08-17,747267,56755,252,9874,False,False,5 days,360828,17392,1592,2 days,1193708,37951,409
